时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告,修复
0.01,0.20,0.05,100.0,-0.0,0.0,0.0,25.0,1,0
0.01,0.43,0.29,100.0,0.0,6.2,0.0,25.0,1,0
0.01,0.46,0.63,100.0,0.0,5.7,0.0,25.0,1,0
0.02,0.45,0.98,100.0,0.0,4.3,0.0,25.0,1,0
0.03,0.43,1.32,100.0,0.0,2.5,0.0,25.0,1,0
0.03,0.40,1.66,100.0,0.0,3.8,0.0,25.0,1,0
0.04,0.37,2.01,100.0,0.0,1.4,0.0,25.0,1,0
0.04,0.35,2.35,100.0,0.0,3.2,0.0,25.0,1,0
0.04,0.32,2.69,100.0,0.0,2.1,0.0,25.0,1,0
0.05,0.31,3.04,100.0,0.0,5.6,0.0,25.0,1,0
0.05,0.31,3.38,100.0,0.0,6.3,0.0,25.0,1,0
0.06,0.31,3.72,100.0,0.0,6.0,0.0,25.0,1,0
0.06,0.30,4.07,100.0,0.0,5.5,0.0,25.0,1,0
0.07,0.32,4.41,100.0,0.0,3.5,0.0,25.0,1,0
0.07,0.32,4.75,100.0,0.0,2.3,0.0,25.0,1,0
0.08,0.39,5.09,100.0,0.0,2.4,0.0,25.0,1,0
0.09,0.39,5.44,100.0,0.0,3.8,0.0,25.0,1,0
0.09,0.41,5.78,100.0,0.0,2.7,0.0,25.0,1,0
0.10,0.46,6.12,100.0,0.0,2.7,0.0,25.0,1,0
0.10,0.51,6.47,100.0,0.0,1.7,0.0,25.0,2,0
0.11,0.65,6.81,100.0,0.0,2.4,0.0,25.0,2,0
0.11,0.81,7.15,100.0,0.0,5.5,0.0,25.0,2,0
0.12,0.82,7.50,100.0,0.0,6.7,0.0,25.0,2,0
0.12,0.84,7.84,100.0,0.0,7.9,0.0,25.0,2,0
0.13,0.87,8.18,100.0,0.0,8.9,0.0,25.0,2,0
0.13,0.91,8.53,100.0,0.0,9.9,0.0,25.0,2,0
0.14,0.95,8.87,100.0,0.0,10.6,0.0,25.0,2,0
0.14,1.00,9.21,100.0,0.0,11.2,0.0,25.0,2,0
0.15,1.06,9.56,100.0,0.0,11.7,0.0,25.0,2,0
0.15,1.11,9.90,100.0,0.0,12.2,0.0,25.0,2,0
0.16,1.17,10.24,100.0,0.0,12.6,0.0,25.0,2,0
0.16,1.21,10.63,100.0,0.0,13.0,0.0,25.0,2,0
0.17,1.10,10.98,100.0,0.0,13.0,0.0,25.0,2,0
0.17,1.15,11.32,100.0,0.0,13.3,0.0,25.0,2,0
0.18,1.21,11.66,100.0,0.0,13.6,0.0,25.0,2,0
0.18,1.26,12.01,100.0,0.0,13.8,0.0,25.0,2,0
0.19,1.32,12.35,100.0,0.0,14.0,0.0,25.0,2,0
0.19,1.37,12.69,100.0,0.0,14.1,0.0,25.0,2,0
0.20,1.42,13.04,100.0,0.0,14.3,0.0,25.0,2,0
0.20,1.47,13.38,100.0,0.0,14.4,0.0,25.0,2,0
0.21,1.51,13.72,100.0,0.0,14.5,0.0,25.0,2,0
0.21,1.56,14.07,100.0,0.0,14.6,0.0,25.0,2,0
0.22,1.41,14.41,100.0,0.0,14.6,0.0,25.0,2,0
0.22,1.44,14.75,100.0,0.0,14.7,0.0,25.0,2,0
0.23,1.48,15.09,100.0,0.0,14.7,0.0,25.0,2,0
0.23,1.51,15.44,100.0,0.0,14.8,0.0,25.0,2,0
0.24,1.54,15.78,100.0,0.0,14.8,0.0,25.0,2,0
0.24,1.57,16.12,100.0,0.0,14.9,0.0,25.0,2,0
0.25,1.59,16.47,100.0,0.0,14.9,0.0,25.0,2,0
0.25,1.80,16.81,100.0,0.0,15.0,0.0,25.0,2,0
0.26,1.82,17.15,100.0,0.0,15.0,0.0,25.0,2,0
0.26,1.83,17.50,100.0,0.0,15.0,0.0,25.0,2,0
0.27,1.84,17.84,100.0,0.0,15.0,0.0,25.0,2,0
0.27,1.85,18.18,100.0,0.0,15.0,0.0,25.0,2,0
0.28,1.85,18.53,100.0,0.0,15.1,0.0,25.0,2,0
0.28,1.85,18.87,100.0,0.0,15.1,0.0,25.0,2,0
0.29,1.85,19.21,100.0,0.0,15.1,0.0,25.0,2,0
0.29,2.04,19.56,100.0,0.0,15.1,0.0,25.0,2,0
0.30,2.51,19.90,100.0,0.0,10.7,0.0,25.0,2,0
0.30,2.49,20.24,100.0,0.0,13.2,0.0,25.0,2,0
0.31,2.23,20.59,100.0,0.0,13.9,0.0,25.0,2,0
0.31,1.96,18.36,100.0,8.6,-1.5,-5.4,25.0,3,0
0.32,1.75,18.58,100.0,4.0,-4.4,-5.2,25.0,3,0
0.32,1.56,18.81,100.0,-2.3,-2.1,-4.6,25.0,3,0
0.33,1.39,19.01,100.0,-8.2,1.8,-4.2,25.0,3,0
0.33,1.24,19.18,100.0,-11.9,3.3,-4.5,25.0,3,0
0.34,1.06,19.33,100.0,-12.9,8.9,-5.2,25.0,3,0
0.34,0.87,19.47,100.0,-10.7,17.8,-5.8,25.0,3,0
0.35,0.67,19.60,100.0,-5.4,22.6,-5.6,25.0,3,0
0.35,0.46,19.75,100.0,1.6,23.7,-4.8,25.0,3,0
0.36,0.26,19.91,100.0,8.1,21.0,-4.3,25.0,3,0
0.36,0.27,10.29,100.0,12.4,4.2,-5.7,25.0,3,0
0.37,0.28,10.41,100.0,9.0,-1.3,-6.1,25.0,3,0
0.37,0.32,10.57,100.0,2.7,-10.4,-5.7,25.0,3,0
0.38,0.36,10.75,100.0,-5.8,-7.4,-4.7,25.0,3,0
0.38,0.34,10.92,100.0,-12.4,-3.6,-4.5,25.0,3,0
0.39,0.31,11.03,100.0,-15.7,6.3,-5.5,25.0,3,0
0.39,0.31,11.05,100.0,-13.5,12.3,-6.5,25.0,3,0
0.40,0.29,11.00,100.0,-7.1,20.3,-6.4,25.0,3,0
0.40,0.26,10.94,100.0,2.7,18.7,-5.0,25.0,4,0
0.41,0.24,10.89,100.0,11.2,17.5,-4.3,25.0,4,0
0.41,0.30,3.57,100.0,6.7,4.0,-8.2,25.0,4,0
0.42,0.34,3.75,100.0,3.2,-3.0,-8.4,25.0,4,0
0.42,0.36,3.76,100.0,-4.2,0.7,-8.0,25.0,4,0
0.43,0.37,3.83,100.0,-9.6,7.1,-8.1,25.0,4,0
0.43,0.38,3.82,100.0,-9.3,15.5,-8.9,25.0,4,0
0.44,0.38,3.67,100.0,-2.7,20.4,-8.8,25.0,4,0
0.44,0.38,3.46,100.0,5.7,18.2,-8.1,25.0,4,0
0.45,0.37,3.32,100.0,9.2,9.9,-8.5,25.0,4,0
0.45,0.39,3.31,100.0,5.9,-5.5,-8.7,25.0,4,0
0.46,0.45,3.48,100.0,-4.2,-6.1,-7.8,25.0,4,0
0.46,0.47,3.70,100.0,-12.6,0.7,-7.7,25.0,4,0
0.47,0.49,3.76,100.0,-12.8,10.8,-9.1,25.0,4,0
0.47,0.53,3.61,100.0,-4.2,21.4,-9.0,25.0,4,0
0.48,0.55,3.38,100.0,8.8,17.3,-7.5,25.0,4,0
0.48,0.57,3.21,100.0,15.4,4.6,-8.3,25.0,4,0
0.49,0.60,3.19,100.0,10.3,-8.4,-9.4,25.0,4,0
0.49,0.65,3.38,100.0,-4.0,-13.1,-7.6,25.0,4,0
0.50,0.70,3.63,100.0,-16.9,-7.1,-7.0,25.0,5,0
0.50,0.76,3.63,99.9,-19.2,10.0,-9.6,25.0,5,0
0.51,0.81,3.26,99.9,-7.6,25.0,-9.8,25.0,5,0
0.51,0.86,2.80,99.9,12.0,23.6,-6.4,25.0,5,0
0.52,0.91,2.48,99.9,23.3,4.7,-7.9,25.0,5,0
0.52,0.99,2.49,99.9,17.7,-13.4,-11.0,25.0,5,0
0.53,1.04,2.88,99.9,-2.8,-23.0,-7.5,25.0,5,0
0.53,1.10,3.37,99.9,-24.1,-9.7,-5.1,25.0,5,0
0.54,1.16,3.47,99.9,-29.5,12.2,-10.7,25.0,5,0
0.54,1.21,3.29,99.9,-15.2,35.5,-12.7,25.0,5,0
0.55,1.25,3.56,99.9,16.1,31.9,-4.2,25.0,5,0
0.55,1.36,4.44,99.9,33.2,17.1,-6.7,25.0,5,0
0.56,1.52,5.68,99.9,27.0,-9.3,-13.8,25.0,5,0
0.56,1.69,7.29,99.9,-1.5,-24.7,-7.3,25.0,5,0
0.57,1.89,13.30,99.9,-22.7,0.8,-3.0,25.0,5,0
0.57,2.09,13.77,99.9,-27.9,12.8,-6.2,25.0,5,0
0.58,2.10,4.40,99.9,0.9,8.2,4.7,25.0,5,0
0.58,2.11,3.38,99.9,3.1,11.5,3.8,25.0,5,0
0.59,2.10,3.22,99.9,3.7,13.6,3.8,25.0,5,0
0.59,2.09,3.08,99.9,3.8,14.6,3.9,25.0,5,0
0.60,2.06,2.96,99.9,3.3,12.5,3.9,25.0,5,0
0.60,2.05,3.59,99.9,5.2,12.6,-1.1,25.0,5,0
0.61,2.05,3.45,99.9,5.8,15.6,-1.2,25.0,5,0
0.61,2.06,4.29,99.9,4.2,16.1,-1.6,25.0,5,0
0.62,2.06,4.11,99.9,4.6,15.4,-1.6,25.0,5,0
0.62,2.07,3.94,99.9,4.8,15.4,-1.6,25.0,5,0
0.63,2.07,3.80,99.9,4.9,14.2,-1.7,25.0,5,0
0.63,2.06,3.68,99.9,4.8,12.3,-1.7,25.0,5,0
0.64,2.06,3.59,99.9,4.8,2.1,-1.7,25.0,6,0
0.64,2.06,3.52,99.9,4.2,5.7,-1.7,25.0,6,0
0.65,2.06,3.49,99.9,3.5,6.3,-1.7,25.0,6,0
0.65,2.05,3.48,99.9,2.8,7.4,-1.7,25.0,6,0
0.66,2.04,3.83,99.9,1.4,3.2,-1.8,25.0,6,0
0.66,2.03,3.90,99.9,0.5,3.6,-1.8,25.0,6,0
0.67,2.02,4.00,99.9,-0.4,6.1,-1.8,25.0,6,0
0.67,2.00,4.12,99.9,-1.3,7.4,-1.7,25.0,6,0
0.68,1.98,4.26,99.9,-2.1,4.2,-1.7,25.0,6,0
0.68,1.96,4.42,99.9,-2.8,4.6,-1.7,25.0,6,0
0.69,1.94,4.59,99.9,-3.6,7.0,-1.7,25.0,6,0
0.69,1.92,4.77,99.9,-4.2,10.1,-1.7,25.0,6,0
0.70,1.91,3.40,99.9,-2.5,11.3,-0.7,25.0,6,0
0.70,1.90,3.67,99.9,-2.7,11.6,-0.7,25.0,6,0
0.71,1.89,4.00,99.9,-2.8,8.2,-0.7,25.0,6,0
0.71,1.87,4.30,99.9,-3.0,10.7,-0.7,25.0,6,0
0.72,1.85,4.55,99.9,-3.1,12.5,-0.7,25.0,6,0
