时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告
0.01,-892.87,204467.29,100.0,113.6,-51.2,-179.4,25.0,2
0.01,0.42,0.24,100.0,0.0,5.2,0.0,25.0,2
0.01,0.46,0.58,100.0,0.0,4.5,0.0,25.0,2
0.02,0.45,0.93,100.0,0.0,3.9,0.0,25.0,2
0.03,0.43,1.27,100.0,0.0,4.7,0.0,25.0,2
0.03,0.40,1.61,100.0,0.0,6.4,0.0,25.0,2
0.04,0.38,1.96,100.0,0.0,3.5,0.0,25.0,2
0.04,0.35,2.30,100.0,0.0,1.9,0.0,25.0,2
0.04,0.33,2.64,100.0,0.0,1.2,0.0,25.0,2
0.05,0.31,2.99,100.0,0.0,4.6,0.0,25.0,2
0.05,0.31,3.33,100.0,0.0,5.3,0.0,25.0,2
0.06,0.30,3.67,100.0,0.0,4.9,0.0,25.0,2
0.06,0.30,4.02,100.0,0.0,4.4,0.0,25.0,2
0.07,0.32,4.26,100.0,0.0,2.9,0.0,25.0,2
0.07,0.30,4.60,100.0,0.0,5.1,0.0,25.0,2
0.08,0.38,4.95,100.0,0.0,2.5,0.0,25.0,2
0.09,0.39,5.29,100.0,0.0,2.5,0.0,25.0,2
0.09,0.41,5.63,100.0,0.0,2.2,0.0,25.0,2
0.10,0.44,5.98,100.0,0.0,2.0,0.0,25.0,3
0.10,0.51,6.32,100.0,0.0,3.2,0.0,25.0,3
0.11,0.60,6.66,100.0,0.0,4.0,0.0,25.0,3
0.11,0.77,7.01,100.0,0.0,4.1,0.0,25.0,3
0.12,0.85,7.35,100.0,0.0,6.7,0.0,25.0,3
0.12,0.87,7.69,100.0,0.0,7.9,0.0,25.0,3
0.13,0.91,8.04,100.0,0.0,8.9,0.0,25.0,3
0.13,0.95,8.38,100.0,0.0,9.9,0.0,25.0,3
0.14,0.99,8.72,100.0,0.0,10.6,0.0,25.0,3
0.14,1.05,9.07,100.0,0.0,11.2,0.0,25.0,3
0.15,1.10,9.41,100.0,0.0,11.7,0.0,25.0,3
0.15,1.00,9.75,100.0,0.0,11.7,0.0,25.0,3
0.16,1.05,10.09,100.0,0.0,12.2,0.0,25.0,3
0.16,1.11,10.44,100.0,0.0,12.6,0.0,25.0,3
0.17,1.17,10.78,100.0,0.0,13.0,0.0,25.0,3
0.17,1.22,11.12,100.0,0.0,13.3,0.0,25.0,3
0.18,1.28,11.47,100.0,0.0,13.6,0.0,25.0,3
0.18,1.34,11.81,100.0,0.0,13.8,0.0,25.0,3
0.19,1.21,12.15,100.0,0.0,13.8,0.0,25.0,3
0.19,1.26,12.50,100.0,0.0,14.0,0.0,25.0,3
0.20,1.31,12.84,100.0,0.0,14.1,0.0,25.0,3
0.20,1.36,13.18,100.0,0.0,14.3,0.0,25.0,3
0.21,1.41,13.53,100.0,0.0,14.4,0.0,25.0,3
0.21,1.45,13.87,100.0,0.0,14.5,0.0,25.0,3
0.22,1.49,14.21,100.0,0.0,14.6,0.0,25.0,3
0.22,1.53,14.56,100.0,0.0,14.7,0.0,25.0,3
0.23,1.57,14.90,100.0,0.0,14.7,0.0,25.0,3
0.23,1.60,15.24,100.0,0.0,14.8,0.0,25.0,3
0.24,1.64,15.59,100.0,0.0,14.8,0.0,25.0,3
0.24,1.66,15.93,100.0,0.0,14.9,0.0,25.0,3
0.25,1.69,16.27,100.0,0.0,14.9,0.0,25.0,3
0.25,1.71,16.61,100.0,0.0,14.9,0.0,25.0,3
