时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告
0.01,-892.87,204467.29,100.0,113.6,-51.2,-179.4,25.0,2
0.01,0.42,0.24,100.0,0.0,5.2,0.0,25.0,2
0.01,0.46,0.58,100.0,0.0,4.5,0.0,25.0,2
0.02,0.45,0.93,100.0,0.0,3.9,0.0,25.0,2
0.03,0.43,1.27,100.0,0.0,4.7,0.0,25.0,2
0.03,0.40,1.61,100.0,0.0,6.4,0.0,25.0,2
0.04,0.38,1.96,100.0,0.0,3.5,0.0,25.0,2
0.04,0.35,2.30,100.0,0.0,1.9,0.0,25.0,2
0.04,0.33,2.64,100.0,0.0,1.2,0.0,25.0,2
0.05,0.31,2.99,100.0,0.0,4.6,0.0,25.0,2
0.05,0.31,3.33,100.0,0.0,5.3,0.0,25.0,2
0.06,0.31,3.38,100.0,0.0,6.3,0.0,25.0,2
0.06,0.31,3.72,100.0,0.0,6.0,0.0,25.0,3
0.07,0.30,4.07,100.0,0.0,5.5,0.0,25.0,3
0.07,0.32,4.41,100.0,0.0,3.5,0.0,25.0,3
0.08,0.32,4.75,100.0,0.0,2.3,0.0,25.0,3
0.09,0.39,5.09,100.0,0.0,2.4,0.0,25.0,3
0.09,0.39,5.44,100.0,0.0,3.8,0.0,25.0,3
0.10,0.41,5.78,100.0,0.0,2.7,0.0,25.0,3
0.10,0.46,6.12,100.0,0.0,2.7,0.0,25.0,3
0.11,0.51,6.47,100.0,0.0,1.7,0.0,25.0,3
0.11,0.65,6.81,100.0,0.0,2.4,0.0,25.0,3
0.12,0.81,7.15,100.0,0.0,5.5,0.0,25.0,3
0.12,0.82,7.50,100.0,0.0,6.7,0.0,25.0,3
0.13,0.84,7.84,100.0,0.0,7.9,0.0,25.0,3
0.13,0.87,8.18,100.0,0.0,8.9,0.0,25.0,3
0.14,0.91,8.53,100.0,0.0,9.9,0.0,25.0,3
0.14,0.95,8.87,100.0,0.0,10.6,0.0,25.0,3
0.15,1.00,9.21,100.0,0.0,11.2,0.0,25.0,3
0.15,1.06,9.56,100.0,0.0,11.7,0.0,25.0,3
0.16,1.11,9.90,100.0,0.0,12.2,0.0,25.0,3
0.16,1.17,10.24,100.0,0.0,12.6,0.0,25.0,3
0.17,1.06,10.59,100.0,0.0,12.6,0.0,25.0,3
0.17,1.12,10.93,100.0,0.0,13.0,0.0,25.0,3
0.18,1.17,11.27,100.0,0.0,13.3,0.0,25.0,3
0.18,1.23,11.61,100.0,0.0,13.6,0.0,25.0,3
0.19,1.28,11.96,100.0,0.0,13.8,0.0,25.0,3
0.19,1.34,12.30,100.0,0.0,14.0,0.0,25.0,3
0.20,1.26,12.50,100.0,0.0,14.0,0.0,25.0,3
0.20,1.31,12.84,100.0,0.0,14.1,0.0,25.0,3
0.21,1.36,13.18,100.0,0.0,14.3,0.0,25.0,3
0.21,1.41,13.53,100.0,0.0,14.4,0.0,25.0,3
0.22,1.45,13.87,100.0,0.0,14.5,0.0,25.0,3
0.22,1.49,14.21,100.0,0.0,14.6,0.0,25.0,3
0.23,1.53,14.56,100.0,0.0,14.7,0.0,25.0,3
0.23,1.57,14.90,100.0,0.0,14.7,0.0,25.0,3
0.24,1.60,15.24,100.0,0.0,14.8,0.0,25.0,3
0.24,1.64,15.59,100.0,0.0,14.8,0.0,25.0,3
0.25,1.66,15.93,100.0,0.0,14.9,0.0,25.0,3
0.25,1.71,16.22,100.0,0.0,14.9,0.0,25.0,3
