request_id,arrival_s,origin_floor,destination_floor,passengers,nearest_elevator,nearest_pickup_s,nearest_dropoff_s,nearest_wait_s,optimized_elevator,optimized_pickup_s,optimized_dropoff_s,optimized_wait_s
58.000,1325.000,8.000,1.000,1.000,0.000,1359.200,1386.800,34.200,1.000,1355.400,1383.000,30.400
59.000,1345.000,1.000,5.000,1.000,0.000,1394.800,1414.000,49.800,2.000,1374.200,1393.400,29.200
60.000,1360.000,1.000,5.000,2.000,3.000,1393.200,1412.400,33.200,1.000,1391.000,1410.200,31.000
61.000,1420.000,1.000,4.000,1.000,0.000,1439.200,1455.600,19.200,1.000,1439.200,1455.600,19.200
62.000,1465.000,4.000,8.000,1.000,0.000,1473.000,1492.200,8.000,1.000,1473.000,1492.200,8.000
63.000,1480.000,1.000,13.000,1.000,3.000,1499.200,1540.800,19.200,2.000,1499.200,1540.800,19.200
64.000,1515.000,11.000,1.000,1.000,3.000,1554.400,1590.400,39.400,1.000,1531.400,1567.400,16.400
65.000,1880.000,11.000,1.000,1.000,0.000,1896.400,1932.400,16.400,2.000,1893.600,1929.600,13.600
66.000,1885.000,1.000,10.000,3.000,3.000,1893.000,1926.200,8.000,1.000,1893.000,1926.200,8.000
67.000,1930.000,1.000,12.000,1.000,0.000,1940.400,1979.200,10.400,2.000,1938.000,1976.800,8.000
68.000,1970.000,11.000,1.000,1.000,0.000,1990.000,2026.000,20.000,1.000,1980.800,2016.800,10.800
69.000,1985.000,1.000,4.000,1.000,0.000,2034.000,2050.400,49.000,1.000,2024.800,2041.200,39.800
70.000,2020.000,1.000,6.000,2.000,0.000,2066.800,2088.800,46.800,1.000,2057.600,2079.600,37.600
71.000,2035.000,1.000,3.000,1.000,0.000,2110.800,2124.400,75.800,2.000,2073.800,2087.400,38.800
72.000,2035.000,1.000,6.000,1.000,0.000,2138.000,2160.000,103.000,3.000,2085.000,2107.000,50.000
73.000,2085.000,1.000,6.000,1.000,0.000,2182.000,2204.000,97.000,2.000,2101.000,2123.000,16.000
74.000,2115.000,1.000,5.000,1.000,0.000,2226.000,2245.200,111.000,3.000,2137.000,2156.200,22.000
75.000,2115.000,6.000,1.000,1.000,0.000,2256.000,2278.000,141.000,1.000,2123.000,2145.000,8.000
76.000,2125.000,1.000,7.000,2.000,0.000,2286.000,2310.800,161.000,2.000,2147.000,2171.800,22.000
77.000,2130.000,8.000,1.000,1.000,3.000,2143.600,2171.200,13.600,0.000,2160.400,2188.000,30.400
78.000,2165.000,1.000,5.000,1.000,3.000,2179.200,2198.400,14.200,1.000,2173.000,2192.200,8.000
79.000,2190.000,1.000,10.000,1.000,3.000,2217.600,2250.800,27.600,0.000,2198.000,2231.200,8.000
80.000,2210.000,13.000,1.000,1.000,1.000,2226.400,2268.000,16.400,2.000,2234.800,2276.400,24.800
81.000,2210.000,7.000,4.000,3.000,0.000,2318.800,2335.200,108.800,3.000,2223.600,2240.000,13.600
82.000,2225.000,1.000,6.000,1.000,1.000,2276.000,2298.000,51.000,1.000,2244.200,2266.200,19.200
83.000,2230.000,1.000,12.000,2.000,0.000,2351.600,2390.400,121.600,3.000,2256.400,2295.200,26.400
84.000,2235.000,3.000,9.000,2.000,1.000,2314.400,2339.200,79.400,0.000,2262.600,2287.400,27.600
85.000,2245.000,1.000,7.000,1.000,3.000,2284.000,2308.800,39.000,2.000,2284.400,2309.200,39.400
86.000,2250.000,1.000,9.000,1.000,3.000,2333.600,2364.000,83.600,1.000,2288.200,2318.600,38.200
87.000,2260.000,1.000,11.000,1.000,1.000,2369.600,2405.600,109.600,0.000,2317.800,2353.800,57.800
