[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.11) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.11) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.11) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.12) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.12) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.12) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.48, 146.88, 0.12) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.88, 0.12) | 碰撞车速：0.0 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.49, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:35] 发生碰撞 | 碰撞对象：static.motorcycle | 位置：(0.72, 143.27, -0.01) | 碰撞车速：69.7 km/h
